DonationID,AlumniID,DonationAmount,DonationType,DonationMethod,DonationDate,Purpose,IsAnonymous,TaxDeductible,RecurringFrequency,Status
DON000191,ALM00862,328,Recurring Monthly,Check,2025-04-08,Research,True,True,,Completed
DON000192,ALM00371,230,Pledge,Wire Transfer,2025-02-27,Research,True,True,,Completed
DON000193,ALM00188,403,Recurring Monthly,Bank Transfer,2024-10-13,Infrastructure,False,True,Annual,Completed
DON000194,ALM03450,55,Recurring Monthly,Credit Card,2025-09-21,Scholarship,False,True,,Completed
DON000195,ALM02892,266,Major Gift,Wire Transfer,2025-07-04,Infrastructure,False,True,,Completed
DON000196,ALM02003,25000,Major Gift,Check,2024-07-10,General Fund,False,True,Monthly,Completed
DON000197,ALM02919,184,Pledge,Wire Transfer,2023-11-22,Endowment,False,True,,Completed
DON000198,ALM01680,250000,In-Kind,Stock,2025-08-21,General Fund,False,True,Annual,Completed
DON000199,ALM02053,50000,One-Time Gift,Wire Transfer,2024-06-13,Infrastructure,False,True,,Completed
DON000200,ALM02615,100000,Major Gift,Check,2025-07-04,General Fund,True,True,,Completed
DON000201,ALM00729,299,Recurring Monthly,Wire Transfer,2024-01-21,Endowment,False,True,,Completed
DON000202,ALM02836,375,In-Kind,Stock,2025-04-04,Endowment,False,False,,Completed
DON000203,ALM01614,215,Recurring Monthly,Wire Transfer,2024-10-30,Endowment,False,True,,Completed
DON000204,ALM01828,93,Recurring Monthly,Check,2025-08-27,General Fund,False,True,,Completed
DON000205,ALM01786,417,Recurring Monthly,Check,2025-03-02,Infrastructure,False,True,,Completed
DON000206,ALM01216,490,Major Gift,Bank Transfer,2024-02-03,Research,True,True,,Completed
DON000207,ALM02198,250000,One-Time Gift,Bank Transfer,2025-05-21,Infrastructure,False,True,,Completed
DON000208,ALM01310,405,In-Kind,Bank Transfer,2024-06-18,Endowment,False,True,,Completed
DON000209,ALM01367,419,In-Kind,Credit Card,2025-05-25,Scholarship,True,True,,Completed
DON000210,ALM01581,100000,Pledge,Bank Transfer,2025-06-15,General Fund,False,True,,Completed
DON000211,ALM00765,438,In-Kind,Stock,2025-01-29,Research,False,True,,Completed
DON000212,ALM03354,328,In-Kind,Wire Transfer,2024-07-25,Infrastructure,True,True,Quarterly,Completed
DON000213,ALM00605,232,Recurring Monthly,Credit Card,2025-04-14,Scholarship,False,True,,Completed
DON000214,ALM00075,369,In-Kind,Credit Card,2025-08-30,General Fund,False,True,,Completed
DON000215,ALM03179,330,Major Gift,Credit Card,2025-04-12,Infrastructure,False,True,,Completed
DON000216,ALM01002,10000,Major Gift,Wire Transfer,2025-08-04,General Fund,False,True,Quarterly,Completed
DON000217,ALM00037,394,In-Kind,Wire Transfer,2024-08-30,Endowment,True,True,,Completed
DON000218,ALM01550,109,Recurring Monthly,Check,2024-01-17,Scholarship,False,True,,Completed
DON000219,ALM00072,161,Major Gift,Wire Transfer,2025-04-26,Scholarship,False,True,,Completed
DON000220,ALM02727,193,Major Gift,Check,2023-12-30,Research,False,True,,Completed
DON000221,ALM00643,25000,Major Gift,Check,2024-11-20,General Fund,False,True,Monthly,Completed
DON000222,ALM02518,284,One-Time Gift,Check,2025-07-02,Infrastructure,False,True,Annual,Completed
DON000223,ALM00692,375,In-Kind,Wire Transfer,2025-03-16,Infrastructure,False,True,Monthly,Completed
DON000224,ALM01212,301,Pledge,Wire Transfer,2025-06-08,General Fund,False,True,Monthly,Completed
DON000225,ALM02324,442,In-Kind,Stock,2024-11-23,Endowment,True,True,,Completed
DON000226,ALM02548,213,Major Gift,Check,2025-10-20,General Fund,False,True,,Completed
DON000227,ALM01071,50000,Major Gift,Bank Transfer,2025-04-29,Scholarship,False,True,,Completed
DON000228,ALM00241,387,Major Gift,Credit Card,2024-09-20,Research,False,True,,Completed
DON000229,ALM01153,286,One-Time Gift,Wire Transfer,2024-07-22,Infrastructure,False,True,Monthly,Completed
DON000230,ALM03348,347,Recurring Monthly,Stock,2024-12-18,Infrastructure,False,True,Monthly,Completed
DON000231,ALM00645,201,Recurring Monthly,Bank Transfer,2025-03-08,Endowment,False,True,,Declined
DON000232,ALM00632,303,Pledge,Credit Card,2025-03-26,Infrastructure,False,True,,Completed
DON000233,ALM03053,225,In-Kind,Credit Card,2024-10-17,Endowment,False,True,,Completed
DON000234,ALM01021,239,Pledge,Bank Transfer,2025-09-06,Infrastructure,False,True,,Completed
DON000235,ALM01114,10000,One-Time Gift,Credit Card,2024-12-27,Scholarship,True,True,,Completed
DON000236,ALM00338,50000,Major Gift,Stock,2024-11-11,Endowment,False,True,Monthly,Completed
DON000237,ALM00952,25000,In-Kind,Wire Transfer,2024-06-08,Infrastructure,False,True,,Completed
DON000238,ALM00401,248,Major Gift,Stock,2024-02-03,Infrastructure,False,True,,Completed
DON000239,ALM03258,413,Pledge,Bank Transfer,2025-10-19,Research,False,True,Quarterly,Completed
DON000240,ALM02736,276,In-Kind,Credit Card,2024-06-11,Research,False,True,,Declined
DON000241,ALM02924,313,In-Kind,Bank Transfer,2025-07-29,Infrastructure,True,True,,Completed
DON000242,ALM03105,479,In-Kind,Stock,2025-10-08,Scholarship,False,True,,Pending
DON000243,ALM00213,88,Recurring Monthly,Stock,2025-07-24,General Fund,False,True,,Completed
DON000244,ALM02550,369,Major Gift,Check,2025-02-20,Endowment,False,True,,Completed
DON000245,ALM03004,132,Major Gift,Wire Transfer,2024-03-31,General Fund,True,False,,Completed
DON000246,ALM02702,117,In-Kind,Check,2024-05-08,Research,True,True,,Pending
DON000247,ALM03466,50000,One-Time Gift,Bank Transfer,2024-02-21,Infrastructure,False,True,,Completed
DON000248,ALM02886,81,Pledge,Check,2025-01-14,Research,False,True,Monthly,Pending
DON000249,ALM03019,250000,One-Time Gift,Check,2024-02-15,Research,False,True,,Completed
DON000250,ALM01856,306,Recurring Monthly,Stock,2025-02-27,Scholarship,False,True,,Completed
DON000251,ALM02999,438,Major Gift,Bank Transfer,2024-12-15,General Fund,False,True,,Completed
DON000252,ALM02023,382,Pledge,Credit Card,2024-04-26,Scholarship,False,True,,Completed
DON000253,ALM02272,497,In-Kind,Bank Transfer,2024-05-31,Infrastructure,True,False,,Completed
DON000254,ALM02891,372,Pledge,Wire Transfer,2024-12-18,Scholarship,False,True,,Completed
DON000255,ALM01580,10000,In-Kind,Bank Transfer,2024-04-05,Research,False,False,,Completed
DON000256,ALM03462,241,One-Time Gift,Credit Card,2024-12-02,Scholarship,False,True,,Completed
DON000257,ALM02296,413,Recurring Monthly,Wire Transfer,2024-05-16,Endowment,False,True,,Completed
DON000258,ALM01806,126,Major Gift,Check,2025-09-01,Research,False,False,,Pending
DON000259,ALM01639,154,One-Time Gift,Credit Card,2024-12-26,Endowment,False,False,,Completed
DON000260,ALM01215,463,One-Time Gift,Wire Transfer,2025-05-18,Infrastructure,False,True,Quarterly,Completed
DON000261,ALM02633,292,Recurring Monthly,Check,2024-09-26,Research,True,True,Monthly,Completed
DON000262,ALM00390,441,In-Kind,Bank Transfer,2025-05-21,Scholarship,False,True,Quarterly,Completed
DON000263,ALM03311,184,Major Gift,Stock,2024-04-11,Infrastructure,False,True,,Completed
DON000264,ALM00337,63,One-Time Gift,Stock,2024-03-02,Research,False,True,Quarterly,Completed
DON000265,ALM00556,446,Recurring Monthly,Credit Card,2023-12-31,Endowment,False,True,,Completed
DON000266,ALM01416,203,Pledge,Wire Transfer,2024-12-19,General Fund,True,True,Monthly,Completed
DON000267,ALM01905,25000,In-Kind,Stock,2025-03-23,Scholarship,False,True,Quarterly,Completed
DON000268,ALM03450,50000,Pledge,Stock,2023-11-28,General Fund,False,True,,Completed
DON000269,ALM03270,173,One-Time Gift,Stock,2025-02-02,Infrastructure,False,True,,Completed
DON000270,ALM01877,96,One-Time Gift,Check,2024-11-29,Endowment,False,True,Quarterly,Completed
DON000271,ALM00006,50000,Recurring Monthly,Wire Transfer,2025-08-18,Scholarship,False,True,,Completed
DON000272,ALM01683,50000,In-Kind,Credit Card,2024-04-28,General Fund,False,True,,Completed
DON000273,ALM02406,409,Recurring Monthly,Stock,2025-10-29,General Fund,True,True,,Completed
DON000274,ALM02930,152,Major Gift,Stock,2025-08-11,Endowment,False,True,,Completed
DON000275,ALM02335,100000,In-Kind,Bank Transfer,2025-08-29,Research,False,True,,Completed
DON000276,ALM01501,379,In-Kind,Wire Transfer,2025-02-15,Infrastructure,False,True,,Completed
DON000277,ALM00006,10000,One-Time Gift,Check,2024-11-03,Scholarship,False,True,,Completed
DON000278,ALM02432,96,One-Time Gift,Bank Transfer,2024-02-08,General Fund,False,True,Monthly,Completed
DON000279,ALM00471,416,One-Time Gift,Credit Card,2025-10-04,Scholarship,False,True,,Completed
DON000280,ALM02304,332,One-Time Gift,Stock,2024-04-18,Endowment,False,True,,Completed
DON000281,ALM02800,50000,Pledge,Bank Transfer,2025-02-07,Scholarship,False,True,Quarterly,Completed
DON000282,ALM02163,25000,Major Gift,Stock,2024-05-04,Scholarship,False,True,Monthly,Completed
DON000283,ALM01648,342,Recurring Monthly,Wire Transfer,2025-03-13,Research,False,True,,Completed
DON000284,ALM03244,340,Recurring Monthly,Wire Transfer,2025-04-17,Endowment,False,True,,Completed
DON000285,ALM01698,63,Major Gift,Credit Card,2024-08-16,Infrastructure,False,True,,Pending
DON000286,ALM01711,468,Recurring Monthly,Wire Transfer,2024-05-22,Research,False,True,Quarterly,Completed
