RSVPID,AlumniID,EventID,RSVPStatus,RSVPDate,GuestCount,SpecialRequirements,CheckInStatus
RSP000076,ALM01505,EVT00006,Tentative,2024-08-30,1,,Not Yet
RSP000077,ALM00327,EVT00118,Confirmed,2025-08-01,2,,Not Yet
RSP000078,ALM02712,EVT00140,Confirmed,2024-01-12,3,,Yes
RSP000079,ALM01135,EVT00146,Confirmed,2025-09-12,0,,Yes
RSP000080,ALM01887,EVT00061,Declined,2026-02-07,0,,Yes
RSP000081,ALM01204,EVT00089,Not Responded,2025-02-15,1,,Yes
RSP000082,ALM02066,EVT00116,Tentative,2026-02-24,2,,Yes
RSP000083,ALM02664,EVT00068,Declined,2024-02-09,4,,Yes
RSP000084,ALM01649,EVT00080,Tentative,2025-08-02,3,,Yes
RSP000085,ALM00266,EVT00140,Confirmed,2023-12-31,4,,Yes
RSP000086,ALM01490,EVT00059,Confirmed,2024-08-31,3,,Not Yet
RSP000087,ALM00292,EVT00057,Tentative,2026-02-27,2,,Not Yet
RSP000088,ALM00050,EVT00041,Not Responded,2023-10-27,2,,Yes
RSP000089,ALM02489,EVT00102,Confirmed,2025-01-07,0,,No
RSP000090,ALM01644,EVT00085,Tentative,2025-07-03,2,,Yes
RSP000091,ALM01865,EVT00113,Confirmed,2024-09-26,2,Wheelchair Access,No
RSP000092,ALM00852,EVT00093,Declined,2025-07-02,4,,Yes
RSP000093,ALM01116,EVT00107,Confirmed,2024-07-15,4,,Yes
RSP000094,ALM01805,EVT00065,Tentative,2024-01-16,1,Wheelchair Access,No
RSP000095,ALM00434,EVT00012,Confirmed,2025-06-05,4,Gluten-Free,Yes
RSP000096,ALM02202,EVT00106,Confirmed,2025-02-20,0,,Yes
RSP000097,ALM01854,EVT00048,Declined,2024-05-19,1,,Yes
RSP000098,ALM01949,EVT00012,Confirmed,2025-06-21,0,,Not Yet
RSP000099,ALM03384,EVT00021,Confirmed,2026-01-24,4,,Yes
RSP000100,ALM01943,EVT00034,Tentative,2024-10-31,2,Wheelchair Access,No
RSP000101,ALM02452,EVT00139,Confirmed,2025-03-16,4,Gluten-Free,Yes
RSP000102,ALM02607,EVT00137,Declined,2024-03-27,1,,Not Yet
RSP000103,ALM03463,EVT00081,Confirmed,2023-11-27,1,,Not Yet
RSP000104,ALM00345,EVT00011,Not Responded,2023-10-31,0,,Yes
RSP000105,ALM03436,EVT00110,Not Responded,2024-08-01,2,,Not Yet
RSP000106,ALM01204,EVT00050,Declined,2026-01-03,3,,No
RSP000107,ALM02052,EVT00115,Confirmed,2025-06-21,1,Wheelchair Access,Yes
RSP000108,ALM02253,EVT00117,Declined,2024-11-30,1,,Not Yet
RSP000109,ALM02341,EVT00091,Confirmed,2025-05-01,2,,Not Yet
RSP000110,ALM02952,EVT00097,Tentative,2024-08-01,0,Gluten-Free,Not Yet
RSP000111,ALM00119,EVT00139,Confirmed,2025-02-28,2,,Yes
RSP000112,ALM02239,EVT00136,Declined,2024-09-13,2,Gluten-Free,Yes
RSP000113,ALM01997,EVT00078,Confirmed,2024-05-05,4,,Not Yet
RSP000114,ALM03214,EVT00051,Confirmed,2024-11-09,2,,Yes
RSP000115,ALM03395,EVT00146,Declined,2025-09-14,2,Vegan,Not Yet
RSP000116,ALM00838,EVT00128,Tentative,2025-08-19,4,,Yes
RSP000117,ALM03287,EVT00059,Not Responded,2024-08-26,3,,Yes
RSP000118,ALM02459,EVT00132,Confirmed,2023-10-26,3,,Not Yet
RSP000119,ALM02170,EVT00147,Declined,2025-01-24,4,Vegan,Not Yet
RSP000120,ALM00904,EVT00021,Confirmed,2025-12-01,2,,Not Yet
RSP000121,ALM03350,EVT00027,Confirmed,2025-01-19,0,,No
RSP000122,ALM00369,EVT00077,Confirmed,2025-08-01,4,,Yes
RSP000123,ALM00957,EVT00007,Declined,2024-09-18,1,,Yes
RSP000124,ALM00899,EVT00130,Declined,2024-11-30,2,,Not Yet
RSP000125,ALM01268,EVT00071,Confirmed,2026-02-26,4,,No
RSP000126,ALM03429,EVT00061,Not Responded,2026-02-12,0,,No
RSP000127,ALM02954,EVT00080,Confirmed,2025-08-02,2,,Not Yet
RSP000128,ALM01142,EVT00140,Declined,2024-01-25,0,Wheelchair Access,Yes
RSP000129,ALM00338,EVT00136,Not Responded,2024-10-28,3,Vegan,Yes
RSP000130,ALM01465,EVT00136,Declined,2024-10-22,3,,Yes
RSP000131,ALM02115,EVT00129,Not Responded,2026-03-29,1,,No
RSP000132,ALM02680,EVT00048,Confirmed,2024-06-25,4,,No
RSP000133,ALM01362,EVT00051,Not Responded,2024-11-05,1,,Yes
RSP000134,ALM02007,EVT00107,Declined,2024-06-16,0,Vegetarian,No
RSP000135,ALM02174,EVT00021,Confirmed,2025-12-23,0,Wheelchair Access,Yes
RSP000136,ALM00307,EVT00150,Confirmed,2026-02-19,0,Vegetarian,Not Yet
RSP000137,ALM01958,EVT00135,Confirmed,2024-04-27,4,,No
RSP000138,ALM01693,EVT00032,Confirmed,2024-10-25,3,,Not Yet
RSP000139,ALM00760,EVT00033,Declined,2024-04-26,2,,Yes
RSP000140,ALM02799,EVT00112,Declined,2025-12-17,2,,No
RSP000141,ALM00047,EVT00126,Not Responded,2025-02-20,3,Vegan,Yes
RSP000142,ALM00006,EVT00122,Declined,2024-04-04,1,Gluten-Free,Yes
RSP000143,ALM03455,EVT00095,Confirmed,2025-04-15,1,,Yes
RSP000144,ALM00338,EVT00134,Not Responded,2025-11-11,1,,No
RSP000145,ALM00214,EVT00030,Confirmed,2024-11-14,2,,Yes
RSP000146,ALM02594,EVT00113,Confirmed,2024-10-28,1,,Yes
RSP000147,ALM00526,EVT00131,Declined,2025-11-16,1,,No
RSP000148,ALM02716,EVT00113,Confirmed,2024-10-07,2,Wheelchair Access,Not Yet
RSP000149,ALM02074,EVT00134,Not Responded,2025-11-06,0,,Yes
RSP000150,ALM01886,EVT00068,Not Responded,2024-01-08,1,,No
RSP000151,ALM02072,EVT00120,Confirmed,2026-01-18,3,,No
RSP000152,ALM03147,EVT00115,Confirmed,2025-06-14,3,,No
RSP000153,ALM00635,EVT00045,Tentative,2025-12-08,3,,Not Yet
RSP000154,ALM02256,EVT00111,Confirmed,2024-03-21,4,,Yes
RSP000155,ALM02424,EVT00015,Confirmed,2024-06-28,3,,Not Yet
RSP000156,ALM00103,EVT00101,Not Responded,2025-04-26,4,,Yes
RSP000157,ALM01149,EVT00137,Declined,2024-03-09,3,Wheelchair Access,Yes
RSP000158,ALM02505,EVT00126,Confirmed,2025-03-26,3,,Yes
RSP000159,ALM02563,EVT00111,Confirmed,2024-03-08,2,,No
RSP000160,ALM01003,EVT00144,Declined,2025-02-10,3,,Yes
RSP000161,ALM02105,EVT00147,Tentative,2025-02-22,3,,Yes
RSP000162,ALM01174,EVT00035,Declined,2025-05-28,3,Vegetarian,Yes
RSP000163,ALM00444,EVT00132,Confirmed,2023-11-16,3,,Not Yet
RSP000164,ALM02588,EVT00040,Declined,2026-02-16,4,,Yes
RSP000165,ALM02027,EVT00029,Confirmed,2024-05-13,3,,Yes
RSP000166,ALM03306,EVT00016,Confirmed,2024-04-04,3,Gluten-Free,No
RSP000167,ALM02297,EVT00064,Not Responded,2025-07-11,1,,Not Yet
RSP000168,ALM01476,EVT00063,Confirmed,2024-04-23,3,,Yes
RSP000169,ALM01107,EVT00037,Not Responded,2026-02-18,1,Vegetarian,Yes
RSP000170,ALM01887,EVT00039,Not Responded,2025-09-08,2,,Yes
RSP000171,ALM02198,EVT00002,Declined,2024-11-17,3,,Yes
RSP000172,ALM03294,EVT00021,Tentative,2025-12-17,3,Gluten-Free,Yes
RSP000173,ALM00851,EVT00008,Tentative,2024-02-18,4,,Yes
RSP000174,ALM00248,EVT00062,Confirmed,2025-09-12,0,,Yes
RSP000175,ALM03083,EVT00094,Confirmed,2024-04-15,0,,No
RSP000176,ALM02084,EVT00013,Declined,2024-11-21,1,Vegan,Not Yet
RSP000177,ALM02182,EVT00082,Confirmed,2025-09-02,0,,Not Yet
RSP000178,ALM02278,EVT00036,Confirmed,2023-11-10,4,,Not Yet
RSP000179,ALM00687,EVT00049,Tentative,2024-05-12,4,,Yes
RSP000180,ALM01695,EVT00015,Declined,2024-06-27,4,,Yes
RSP000181,ALM02125,EVT00146,Declined,2025-09-03,0,,No
RSP000182,ALM00643,EVT00012,Confirmed,2025-06-22,2,,Yes
RSP000183,ALM00217,EVT00131,Tentative,2025-11-11,4,,Not Yet
RSP000184,ALM00579,EVT00103,Tentative,2025-12-03,1,,Yes
RSP000185,ALM00422,EVT00138,Tentative,2023-12-20,3,Gluten-Free,Yes
RSP000186,ALM00833,EVT00052,Confirmed,2025-11-29,1,,Yes
RSP000187,ALM00588,EVT00025,Declined,2025-09-30,1,,No
RSP000188,ALM01982,EVT00084,Declined,2025-06-11,2,Vegetarian,No
RSP000189,ALM02688,EVT00122,Not Responded,2024-03-04,1,,Yes
RSP000190,ALM01915,EVT00063,Tentative,2024-04-21,1,,No
RSP000191,ALM01691,EVT00106,Confirmed,2025-04-19,1,,Yes
RSP000192,ALM03483,EVT00020,Not Responded,2024-08-04,0,,Not Yet
RSP000193,ALM01486,EVT00099,Confirmed,2024-11-20,2,,Yes
RSP000194,ALM00995,EVT00068,Declined,2023-12-28,0,,Not Yet
RSP000195,ALM03035,EVT00119,Confirmed,2025-06-30,1,,Yes
RSP000196,ALM00526,EVT00091,Declined,2025-04-28,1,Wheelchair Access,No
RSP000197,ALM02725,EVT00132,Declined,2023-11-09,1,,No
RSP000198,ALM01282,EVT00121,Confirmed,2023-11-30,0,,Yes
RSP000199,ALM01635,EVT00131,Declined,2025-11-30,3,,Yes
RSP000200,ALM00814,EVT00149,Not Responded,2025-07-07,2,,Not Yet
RSP000201,ALM01886,EVT00068,Declined,2024-01-30,3,,No
RSP000202,ALM02613,EVT00074,Declined,2024-11-02,4,,Yes
RSP000203,ALM00788,EVT00076,Not Responded,2025-06-06,1,Vegan,No
RSP000204,ALM01872,EVT00048,Not Responded,2024-06-25,0,,No
RSP000205,ALM01907,EVT00092,Confirmed,2024-12-12,2,Wheelchair Access,Not Yet
RSP000206,ALM01062,EVT00029,Confirmed,2024-04-19,1,,Not Yet
RSP000207,ALM02982,EVT00050,Confirmed,2026-01-08,4,,No
RSP000208,ALM02911,EVT00146,Confirmed,2025-08-14,0,,Yes
RSP000209,ALM01657,EVT00103,Not Responded,2025-12-30,2,,No
RSP000210,ALM00515,EVT00096,Confirmed,2024-08-09,2,,Yes
RSP000211,ALM02498,EVT00009,Confirmed,2025-06-21,0,,Yes
RSP000212,ALM01409,EVT00100,Confirmed,2024-12-31,3,,Not Yet
RSP000213,ALM02565,EVT00138,Not Responded,2023-12-10,3,,Yes
RSP000214,ALM02342,EVT00002,Not Responded,2024-09-30,1,,Yes
RSP000215,ALM03373,EVT00025,Not Responded,2025-09-28,1,Vegetarian,Yes
RSP000216,ALM02881,EVT00115,Not Responded,2025-07-30,3,,Yes
RSP000217,ALM02734,EVT00063,Tentative,2024-04-11,1,,No
RSP000218,ALM00010,EVT00127,Confirmed,2024-12-13,4,,Yes
RSP000219,ALM03185,EVT00045,Confirmed,2025-11-12,3,,Not Yet
RSP000220,ALM01012,EVT00020,Tentative,2024-08-10,3,,Yes
RSP000221,ALM00085,EVT00070,Declined,2023-10-02,4,Vegan,Yes
RSP000222,ALM01077,EVT00036,Not Responded,2023-10-17,3,,Not Yet
RSP000223,ALM02975,EVT00059,Confirmed,2024-09-19,4,Vegan,Not Yet
RSP000224,ALM00046,EVT00139,Not Responded,2025-03-22,4,,Yes
RSP000225,ALM00799,EVT00007,Tentative,2024-10-23,3,,No
RSP000226,ALM02757,EVT00138,Confirmed,2023-12-15,2,,Yes
RSP000227,ALM01697,EVT00075,Tentative,2025-05-09,3,,Yes
RSP000228,ALM01693,EVT00141,Confirmed,2024-05-27,1,,Yes
RSP000229,ALM00864,EVT00107,Confirmed,2024-07-16,1,,Not Yet
RSP000230,ALM00430,EVT00091,Confirmed,2025-04-24,1,,Not Yet
RSP000231,ALM00439,EVT00074,Confirmed,2024-11-07,2,Wheelchair Access,No
RSP000232,ALM01470,EVT00021,Confirmed,2025-12-10,1,,No
RSP000233,ALM00117,EVT00003,Tentative,2025-10-08,4,,Yes
RSP000234,ALM02509,EVT00082,Declined,2025-10-04,0,Gluten-Free,No
RSP000235,ALM02805,EVT00066,Not Responded,2025-09-07,4,,Not Yet
RSP000236,ALM00256,EVT00044,Tentative,2025-04-14,2,,No
RSP000237,ALM00720,EVT00075,Declined,2025-03-26,3,,No
RSP000238,ALM02197,EVT00104,Confirmed,2025-10-18,4,,Yes
RSP000239,ALM02752,EVT00041,Confirmed,2023-10-15,4,,No
RSP000240,ALM00590,EVT00134,Confirmed,2025-12-17,2,,Yes
RSP000241,ALM01906,EVT00055,Confirmed,2026-03-07,0,,Yes
RSP000242,ALM01699,EVT00121,Confirmed,2023-11-29,0,,Yes
RSP000243,ALM00842,EVT00039,Confirmed,2025-08-23,1,,Yes
RSP000244,ALM02798,EVT00112,Confirmed,2025-12-16,3,,No
RSP000245,ALM03125,EVT00119,Not Responded,2025-07-09,4,,Yes
RSP000246,ALM00736,EVT00084,Confirmed,2025-06-06,2,,Yes
RSP000247,ALM00137,EVT00140,Confirmed,2024-01-01,1,Vegetarian,Yes
RSP000248,ALM00960,EVT00051,Confirmed,2024-11-12,2,Gluten-Free,Yes
RSP000249,ALM01831,EVT00128,Not Responded,2025-07-21,4,,No
RSP000250,ALM03107,EVT00091,Confirmed,2025-03-30,4,,Not Yet
RSP000251,ALM02647,EVT00007,Confirmed,2024-10-21,2,,Yes
RSP000252,ALM00885,EVT00001,Declined,2024-08-30,2,,Yes
RSP000253,ALM00078,EVT00091,Tentative,2025-03-17,4,,No
RSP000254,ALM02487,EVT00029,Not Responded,2024-05-14,1,,Yes
RSP000255,ALM01448,EVT00089,Not Responded,2025-01-17,0,Gluten-Free,Not Yet
RSP000256,ALM03356,EVT00018,Confirmed,2024-07-15,0,,Yes
RSP000257,ALM01436,EVT00140,Not Responded,2024-01-16,3,,No
RSP000258,ALM01566,EVT00047,Not Responded,2024-08-25,0,,Yes
RSP000259,ALM02878,EVT00128,Not Responded,2025-08-15,0,,Yes
RSP000260,ALM02183,EVT00113,Confirmed,2024-10-27,1,,Yes
RSP000261,ALM00196,EVT00095,Confirmed,2025-04-04,0,,Yes
RSP000262,ALM02683,EVT00129,Not Responded,2026-02-26,3,Vegan,Yes
RSP000263,ALM01332,EVT00114,Confirmed,2023-12-07,3,Vegan,Yes
RSP000264,ALM00881,EVT00052,Tentative,2025-12-12,1,,Not Yet
RSP000265,ALM02726,EVT00104,Confirmed,2025-10-15,0,,No
RSP000266,ALM00790,EVT00017,Confirmed,2024-10-27,4,,Yes
RSP000267,ALM00458,EVT00016,Declined,2024-03-18,2,Vegetarian,Yes
RSP000268,ALM00404,EVT00085,Confirmed,2025-07-07,0,Gluten-Free,Not Yet
RSP000269,ALM00439,EVT00026,Tentative,2025-05-10,2,,Yes
RSP000270,ALM02650,EVT00090,Tentative,2024-09-03,2,,No
RSP000271,ALM01492,EVT00031,Confirmed,2025-11-02,1,Vegan,No
RSP000272,ALM00637,EVT00050,Not Responded,2026-01-18,4,,Not Yet
RSP000273,ALM03231,EVT00071,Not Responded,2026-01-22,1,,Not Yet
RSP000274,ALM02598,EVT00113,Not Responded,2024-10-29,2,,Yes
RSP000275,ALM02782,EVT00080,Not Responded,2025-06-19,4,Vegan,Yes
RSP000276,ALM01643,EVT00056,Confirmed,2024-09-14,0,,Yes
RSP000277,ALM00213,EVT00149,Declined,2025-07-01,3,Wheelchair Access,Yes
RSP000278,ALM03213,EVT00093,Not Responded,2025-07-08,4,Vegan,No
RSP000279,ALM01045,EVT00089,Not Responded,2025-02-09,0,,Yes
RSP000280,ALM00997,EVT00006,Confirmed,2024-09-12,1,Wheelchair Access,Not Yet
RSP000281,ALM02825,EVT00135,Confirmed,2024-05-28,1,,No
RSP000282,ALM02830,EVT00107,Not Responded,2024-06-18,1,,Yes
RSP000283,ALM00102,EVT00083,Confirmed,2026-03-17,1,Wheelchair Access,Yes
RSP000284,ALM00932,EVT00044,Confirmed,2025-04-27,0,Vegetarian,Yes
RSP000285,ALM03090,EVT00105,Declined,2025-04-03,4,,No
RSP000286,ALM00601,EVT00130,Confirmed,2024-12-10,2,,No
RSP000287,ALM03352,EVT00098,Confirmed,2023-11-21,1,,No
RSP000288,ALM00113,EVT00119,Confirmed,2025-07-27,3,,Not Yet
RSP000289,ALM00473,EVT00085,Tentative,2025-07-03,1,,No
RSP000290,ALM00140,EVT00144,Tentative,2025-01-21,1,,Yes
RSP000291,ALM01148,EVT00068,Not Responded,2024-01-05,3,,Not Yet
RSP000292,ALM01415,EVT00046,Confirmed,2025-04-09,3,,No
RSP000293,ALM01832,EVT00008,Confirmed,2024-03-01,2,,No
RSP000294,ALM00597,EVT00134,Not Responded,2025-11-19,4,,Not Yet
RSP000295,ALM00900,EVT00077,Confirmed,2025-08-10,0,,Yes
RSP000296,ALM02591,EVT00020,Confirmed,2024-08-23,1,,Yes
RSP000297,ALM01407,EVT00029,Declined,2024-06-03,1,Gluten-Free,Not Yet
RSP000298,ALM00131,EVT00010,Not Responded,2025-12-25,1,,Yes
RSP000299,ALM02438,EVT00150,Not Responded,2026-02-27,1,,Yes
RSP000300,ALM02821,EVT00042,Tentative,2026-01-02,0,,Yes
RSP000301,ALM01609,EVT00013,Confirmed,2024-11-18,4,,Yes
RSP000302,ALM00578,EVT00112,Confirmed,2026-01-08,0,,Yes
RSP000303,ALM00260,EVT00114,Confirmed,2023-11-21,0,,Yes
RSP000304,ALM01541,EVT00083,Confirmed,2026-03-26,1,,Yes
RSP000305,ALM01963,EVT00072,Not Responded,2024-01-01,0,,Yes
RSP000306,ALM00530,EVT00103,Confirmed,2025-11-28,3,,No
RSP000307,ALM01585,EVT00034,Confirmed,2024-11-16,1,,Yes
RSP000308,ALM02854,EVT00091,Not Responded,2025-03-26,0,Gluten-Free,Yes
RSP000309,ALM01423,EVT00088,Tentative,2024-12-13,1,,No
RSP000310,ALM00265,EVT00081,Not Responded,2023-12-16,2,,Yes
RSP000311,ALM02474,EVT00021,Declined,2026-01-03,3,,Yes
RSP000312,ALM03015,EVT00043,Declined,2026-03-22,1,,Not Yet
RSP000313,ALM00325,EVT00062,Confirmed,2025-07-24,4,Wheelchair Access,Not Yet
RSP000314,ALM01432,EVT00024,Declined,2025-12-30,3,,Yes
RSP000315,ALM01869,EVT00032,Declined,2024-11-14,0,,Yes
RSP000316,ALM02018,EVT00120,Confirmed,2026-01-28,1,,Yes
RSP000317,ALM01431,EVT00070,Declined,2023-09-22,4,,Not Yet
RSP000318,ALM01459,EVT00021,Confirmed,2025-12-06,2,,Yes
RSP000319,ALM00349,EVT00113,Confirmed,2024-10-07,3,Wheelchair Access,Not Yet
RSP000320,ALM01335,EVT00027,Declined,2025-01-03,4,,No
RSP000321,ALM00441,EVT00031,Declined,2025-11-06,1,,Not Yet
RSP000322,ALM03168,EVT00009,Confirmed,2025-05-30,4,,Yes
RSP000323,ALM00826,EVT00145,Not Responded,2024-12-10,4,,No
RSP000324,ALM00392,EVT00012,Declined,2025-05-25,2,,Yes
RSP000325,ALM02899,EVT00083,Confirmed,2026-02-19,0,Wheelchair Access,Yes
RSP000326,ALM02388,EVT00022,Tentative,2025-12-12,2,,Yes
RSP000327,ALM02987,EVT00076,Not Responded,2025-06-23,3,,Yes
RSP000328,ALM01234,EVT00130,Declined,2024-12-08,0,,Yes
RSP000329,ALM02664,EVT00098,Confirmed,2023-12-15,1,,Yes
RSP000330,ALM01061,EVT00104,Declined,2025-10-16,0,,Not Yet
RSP000331,ALM01202,EVT00023,Not Responded,2024-12-19,3,,Yes
RSP000332,ALM03419,EVT00108,Confirmed,2025-11-20,3,,Yes
RSP000333,ALM00300,EVT00142,Not Responded,2026-03-04,0,,No
RSP000334,ALM00337,EVT00048,Not Responded,2024-06-19,4,,Not Yet
RSP000335,ALM02040,EVT00024,Confirmed,2025-12-31,4,,Yes
RSP000336,ALM00711,EVT00007,Confirmed,2024-10-27,2,,Yes
RSP000337,ALM01619,EVT00061,Not Responded,2026-02-21,3,,No
RSP000338,ALM03373,EVT00059,Declined,2024-08-30,3,,Yes
RSP000339,ALM01213,EVT00102,Tentative,2024-12-13,4,,Yes
RSP000340,ALM03145,EVT00051,Confirmed,2024-11-07,4,,Yes
RSP000341,ALM00195,EVT00098,Confirmed,2023-12-13,0,,Not Yet
RSP000342,ALM03451,EVT00121,Confirmed,2023-12-08,2,,No
RSP000343,ALM02086,EVT00041,Confirmed,2023-10-17,3,,Yes
RSP000344,ALM02119,EVT00086,Not Responded,2023-11-18,3,,Yes
RSP000345,ALM00303,EVT00007,Declined,2024-09-23,4,,Yes
RSP000346,ALM00825,EVT00038,Declined,2026-02-03,0,,Not Yet
RSP000347,ALM02252,EVT00107,Confirmed,2024-06-26,3,Vegan,Yes
RSP000348,ALM03181,EVT00068,Confirmed,2024-01-03,3,,No
RSP000349,ALM02748,EVT00084,Not Responded,2025-06-20,2,,Yes
RSP000350,ALM02793,EVT00077,Confirmed,2025-07-06,0,,No
RSP000351,ALM01045,EVT00009,Not Responded,2025-06-24,3,,No
RSP000352,ALM03356,EVT00113,Confirmed,2024-11-08,4,,Not Yet
RSP000353,ALM02381,EVT00052,Tentative,2025-11-16,1,,Yes
RSP000354,ALM01609,EVT00054,Declined,2024-01-29,3,,No
RSP000355,ALM01291,EVT00117,Not Responded,2024-11-17,1,,Yes
RSP000356,ALM00726,EVT00119,Tentative,2025-07-21,1,,Yes
RSP000357,ALM01374,EVT00098,Confirmed,2023-11-03,3,,Yes
RSP000358,ALM03064,EVT00091,Declined,2025-03-15,3,,Yes
