EngagementID,AlumniID,EventsAttended,DonationCount,TotalAmountDonated,MentorshipsActive,VolunteerHours,ProfileCompleteness,EmailEngagementRate,LastActivityDate,EngagementScore,EngagementTier,AssignedTo,LastReviewDate
ENG000055,ALM00055,3,0,0,0,0,58,0.366,2025-10-05,3,Low,Staff_05,2025-09-10
ENG000056,ALM00056,3,1,250000,0,0,53,0.831,2025-05-27,7,Low,Staff_13,2025-08-05
ENG000057,ALM00057,0,0,0,0,0,52,0.433,2025-09-17,2,Low,Staff_06,2025-10-30
ENG000058,ALM00058,2,0,0,0,0,42,0.471,2025-09-02,2,Low,Staff_16,2025-08-26
ENG000059,ALM00059,2,2,100000,0,0,81,0.797,2025-08-23,8,Medium,Staff_10,2025-09-08
ENG000060,ALM00060,2,0,0,0,0,82,0.312,2025-09-23,4,Low,Staff_04,2025-08-23
ENG000061,ALM00061,0,1,55,2,1,47,0.578,2025-10-14,3,Low,Staff_07,2025-11-01
ENG000062,ALM00062,2,0,0,0,0,75,0.123,2025-10-17,4,Low,Staff_18,2025-10-23
ENG000063,ALM00063,2,0,0,0,0,66,0.416,2025-09-05,3,Low,Staff_03,2025-08-30
ENG000064,ALM00064,2,1,334,0,0,74,0.812,2025-09-04,3,Low,Staff_14,2025-08-25
ENG000065,ALM00065,2,0,0,0,0,48,0.05,2025-09-17,2,Low,Staff_19,2025-09-12
ENG000066,ALM00066,1,0,0,0,0,90,0.988,2025-08-22,3,Low,Staff_09,2025-08-24
ENG000067,ALM00067,0,1,176,0,0,67,0.533,2025-09-16,2,Low,Staff_08,2025-10-25
ENG000068,ALM00068,5,0,0,0,0,48,0.157,2025-05-29,3,Low,Staff_20,2025-09-23
ENG000069,ALM00069,2,1,314,0,0,83,0.193,2025-09-04,4,Low,Staff_05,2025-08-08
ENG000070,ALM00070,3,0,0,0,0,53,0.162,2025-09-15,3,Low,Staff_06,2025-09-07
ENG000071,ALM00071,3,2,250405,0,0,89,0.12,2025-09-20,8,Medium,Staff_06,2025-08-29
ENG000072,ALM00072,3,3,25479,0,0,92,0.227,2025-07-10,8,Medium,Staff_18,2025-08-27
ENG000073,ALM00073,2,1,257,0,0,42,0.544,2025-05-23,2,Low,Staff_18,2025-08-26
ENG000074,ALM00074,3,0,0,0,0,95,0.681,2025-09-24,4,Low,Staff_13,2025-10-13
ENG000075,ALM00075,1,1,369,0,0,62,0.175,2025-05-22,2,Low,Staff_03,2025-08-30
ENG000076,ALM00076,2,0,0,1,64,88,0.737,2025-08-20,5,Low,Staff_04,2025-09-16
ENG000077,ALM00077,1,0,0,1,38,84,0.43,2025-06-05,4,Low,Staff_18,2025-08-07
ENG000078,ALM00078,2,0,0,0,0,82,0.168,2025-07-07,4,Low,Staff_20,2025-08-15
ENG000079,ALM00079,3,0,0,0,0,30,0.476,2025-08-12,2,Low,Staff_01,2025-08-07
ENG000080,ALM00080,3,0,0,0,0,68,0.779,2025-10-07,3,Low,Staff_01,2025-09-23
ENG000081,ALM00081,2,0,0,0,0,83,0.283,2025-08-16,4,Low,Staff_01,2025-08-26
ENG000082,ALM00082,3,0,0,1,20,43,0.361,2025-08-22,3,Low,Staff_12,2025-08-07
ENG000083,ALM00083,3,0,0,0,0,80,0.539,2025-09-25,4,Low,Staff_05,2025-08-21
ENG000084,ALM00084,3,1,100000,0,0,34,0.257,2025-10-22,6,Low,Staff_14,2025-09-06
ENG000085,ALM00085,2,2,675,0,0,63,0.506,2025-10-24,3,Low,Staff_19,2025-10-30
ENG000086,ALM00086,3,1,377,0,0,45,0.607,2025-06-30,2,Low,Staff_15,2025-10-01
ENG000087,ALM00087,3,2,808,0,0,61,0.681,2025-07-02,3,Low,Staff_20,2025-09-18
ENG000088,ALM00088,0,0,0,0,0,51,0.921,2025-08-27,2,Low,Staff_08,2025-09-16
ENG000089,ALM00089,1,1,207,0,0,78,0.004,2025-08-10,3,Low,Staff_17,2025-08-31
ENG000090,ALM00090,1,2,110000,0,0,92,0.725,2025-09-28,7,Low,Staff_10,2025-10-14
ENG000091,ALM00091,1,0,0,0,0,81,0.98,2025-08-06,3,Low,Staff_13,2025-08-06
ENG000092,ALM00092,0,2,585,0,0,55,0.618,2025-05-12,2,Low,Staff_18,2025-08-29
ENG000093,ALM00093,1,1,438,0,0,67,0.589,2025-11-01,2,Low,Staff_05,2025-10-12
ENG000094,ALM00094,2,3,50505,0,0,46,0.713,2025-07-25,6,Low,Staff_04,2025-10-27
ENG000095,ALM00095,1,0,0,0,0,39,0.907,2025-10-20,1,Low,Staff_13,2025-10-19
ENG000096,ALM00096,1,1,333,0,0,71,0.572,2025-09-02,2,Low,Staff_05,2025-09-21
ENG000097,ALM00097,2,0,0,0,0,88,0.876,2025-10-06,4,Low,Staff_18,2025-08-04
ENG000098,ALM00098,1,0,0,0,0,53,0.497,2025-08-05,2,Low,Staff_03,2025-08-07
ENG000099,ALM00099,2,0,0,0,0,95,0.552,2025-05-17,4,Low,Staff_10,2025-09-01
ENG000100,ALM00100,3,1,25000,0,0,91,0.296,2025-09-13,8,Medium,Staff_01,2025-09-10
ENG000101,ALM00101,2,0,0,0,0,99,0.848,2025-09-20,4,Low,Staff_01,2025-09-10
ENG000102,ALM00102,6,1,184,0,0,76,0.339,2025-09-21,6,Low,Staff_04,2025-08-19
ENG000103,ALM00103,5,0,0,0,0,32,0.495,2025-10-15,3,Low,Staff_01,2025-09-24
ENG000104,ALM00104,4,0,0,0,0,31,0.026,2025-07-21,3,Low,Staff_11,2025-09-03
ENG000105,ALM00105,0,0,0,0,0,64,0.655,2025-08-20,2,Low,Staff_14,2025-09-14
ENG000106,ALM00106,2,1,75,0,0,64,0.74,2025-05-06,3,Low,Staff_19,2025-10-29
ENG000107,ALM00107,2,0,0,0,0,59,0.528,2025-08-04,3,Low,Staff_20,2025-09-23
ENG000108,ALM00108,2,0,0,0,0,71,0.479,2025-07-02,3,Low,Staff_10,2025-08-05
ENG000109,ALM00109,1,1,335,1,1,92,0.74,2025-06-19,4,Low,Staff_04,2025-08-12
ENG000110,ALM00110,2,0,0,0,0,82,0.873,2025-10-29,4,Low,Staff_17,2025-08-07
ENG000111,ALM00111,1,2,662,0,0,93,0.357,2025-06-02,3,Low,Staff_09,2025-08-16
ENG000112,ALM00112,2,1,235,0,0,58,0.06,2025-08-06,3,Low,Staff_09,2025-09-16
ENG000113,ALM00113,3,1,250000,0,0,95,0.079,2025-10-29,8,Medium,Staff_02,2025-09-03
ENG000114,ALM00114,3,0,0,0,0,81,0.569,2025-08-31,4,Low,Staff_13,2025-09-16
ENG000115,ALM00115,0,0,0,1,47,74,0.554,2025-09-26,3,Low,Staff_19,2025-09-05
ENG000116,ALM00116,2,3,618,1,30,56,0.073,2025-08-25,4,Low,Staff_18,2025-08-10
ENG000117,ALM00117,2,0,0,0,0,42,0.054,2025-06-01,2,Low,Staff_14,2025-10-28
ENG000118,ALM00118,3,0,0,0,0,97,0.036,2025-07-21,4,Low,Staff_04,2025-10-15
ENG000119,ALM00119,4,0,0,0,0,80,0.044,2025-08-15,5,Low,Staff_06,2025-08-10
ENG000120,ALM00120,1,0,0,1,91,65,0.668,2025-07-27,3,Low,Staff_10,2025-08-27
ENG000121,ALM00121,3,0,0,0,0,82,0.237,2025-10-20,4,Low,Staff_07,2025-09-11
ENG000122,ALM00122,3,1,114,1,71,67,0.706,2025-10-18,4,Low,Staff_10,2025-10-24
ENG000123,ALM00123,3,0,0,0,0,80,0.638,2025-08-21,4,Low,Staff_13,2025-10-01
ENG000124,ALM00124,3,0,0,0,0,78,0.442,2025-06-06,4,Low,Staff_07,2025-08-15
ENG000125,ALM00125,2,0,0,0,0,78,0.207,2025-09-14,4,Low,Staff_15,2025-10-05
ENG000126,ALM00126,2,0,0,1,67,80,0.881,2025-06-02,5,Low,Staff_12,2025-10-16
ENG000127,ALM00127,4,0,0,0,0,48,0.823,2025-10-22,3,Low,Staff_05,2025-10-15
ENG000128,ALM00128,3,0,0,0,0,67,0.989,2025-10-21,3,Low,Staff_19,2025-10-04
ENG000129,ALM00129,2,1,67,0,0,63,0.964,2025-10-17,3,Low,Staff_12,2025-10-10
ENG000130,ALM00130,1,0,0,0,0,96,0.381,2025-07-28,3,Low,Staff_20,2025-10-08
ENG000131,ALM00131,4,1,100000,0,0,64,0.013,2025-08-08,8,Medium,Staff_02,2025-10-18
ENG000132,ALM00132,3,0,0,0,0,83,0.68,2025-05-20,4,Low,Staff_14,2025-10-05
ENG000133,ALM00133,1,0,0,0,0,52,0.156,2025-07-23,2,Low,Staff_12,2025-09-11
ENG000134,ALM00134,2,1,236,0,0,76,0.887,2025-09-29,4,Low,Staff_04,2025-10-13
ENG000135,ALM00135,0,2,50205,0,0,38,0.535,2025-10-27,5,Low,Staff_07,2025-08-06
ENG000136,ALM00136,5,0,0,1,28,43,0.702,2025-08-09,4,Low,Staff_08,2025-09-01
ENG000137,ALM00137,4,0,0,0,0,33,0.965,2025-10-03,3,Low,Staff_19,2025-10-12
ENG000138,ALM00138,3,0,0,0,0,71,0.011,2025-06-29,3,Low,Staff_14,2025-10-06
ENG000139,ALM00139,2,0,0,0,0,56,0.727,2025-07-28,3,Low,Staff_15,2025-08-08
ENG000140,ALM00140,4,0,0,0,0,100,0.13,2025-06-02,6,Low,Staff_02,2025-10-08
ENG000141,ALM00141,3,2,100491,0,0,31,0.341,2025-05-09,6,Low,Staff_18,2025-10-29
ENG000142,ALM00142,1,1,480,0,0,88,0.991,2025-09-26,3,Low,Staff_14,2025-08-07
ENG000143,ALM00143,1,2,558,0,0,49,0.379,2025-09-22,1,Low,Staff_18,2025-10-01
ENG000144,ALM00144,4,0,0,0,0,69,0.568,2025-09-09,4,Low,Staff_01,2025-09-28
ENG000145,ALM00145,2,1,461,0,0,73,0.219,2025-06-25,3,Low,Staff_02,2025-10-17
ENG000146,ALM00146,4,1,495,0,0,90,0.073,2025-10-06,5,Low,Staff_15,2025-09-03
ENG000147,ALM00147,3,1,214,0,0,99,0.555,2025-07-08,4,Low,Staff_20,2025-10-12
ENG000148,ALM00148,0,1,431,0,0,55,0.058,2025-06-16,2,Low,Staff_16,2025-09-12
ENG000149,ALM00149,3,2,10312,0,0,36,0.553,2025-08-04,6,Low,Staff_11,2025-10-13
ENG000150,ALM00150,4,0,0,0,0,68,0.297,2025-10-14,4,Low,Staff_17,2025-10-16
ENG000151,ALM00151,2,0,0,0,0,32,0.849,2025-08-23,2,Low,Staff_16,2025-10-17
ENG000152,ALM00152,3,0,0,0,0,33,0.709,2025-06-06,2,Low,Staff_08,2025-09-21
ENG000153,ALM00153,4,2,686,0,0,95,0.303,2025-07-29,5,Low,Staff_19,2025-09-22
ENG000154,ALM00154,4,0,0,0,0,68,0.53,2025-10-09,4,Low,Staff_07,2025-08-10
ENG000155,ALM00155,5,0,0,0,0,39,0.795,2025-10-14,3,Low,Staff_11,2025-09-04
ENG000156,ALM00156,3,0,0,1,65,59,0.593,2025-10-19,4,Low,Staff_04,2025-09-19
ENG000157,ALM00157,2,0,0,0,0,78,0.519,2025-06-21,4,Low,Staff_16,2025-08-11
ENG000158,ALM00158,2,1,205,0,0,99,0.979,2025-08-28,4,Low,Staff_04,2025-09-23
ENG000159,ALM00159,6,0,0,0,0,49,0.708,2025-07-08,4,Low,Staff_08,2025-09-20
ENG000160,ALM00160,4,0,0,0,0,32,0.056,2025-08-27,3,Low,Staff_02,2025-08-11
ENG000161,ALM00161,1,1,50000,0,0,90,0.575,2025-07-03,7,Low,Staff_18,2025-08-05
ENG000162,ALM00162,1,0,0,1,51,97,0.839,2025-09-09,4,Low,Staff_11,2025-09-04
ENG000163,ALM00163,2,0,0,0,0,96,0.451,2025-08-07,4,Low,Staff_01,2025-08-06
ENG000164,ALM00164,1,2,10270,0,0,67,0.357,2025-06-04,6,Low,Staff_02,2025-09-20
ENG000165,ALM00165,8,1,50000,0,0,57,0.511,2025-06-22,10,Medium,Staff_19,2025-08-22
ENG000166,ALM00166,2,0,0,0,0,69,0.918,2025-07-08,3,Low,Staff_04,2025-10-31
ENG000167,ALM00167,1,0,0,1,24,70,0.705,2025-06-09,3,Low,Staff_08,2025-10-21
ENG000168,ALM00168,3,0,0,1,71,89,0.054,2025-08-22,5,Low,Staff_18,2025-10-27
ENG000169,ALM00169,1,0,0,0,0,59,0.158,2025-07-26,2,Low,Staff_19,2025-09-08
ENG000170,ALM00170,3,1,100000,0,0,46,0.313,2025-10-06,6,Low,Staff_02,2025-08-14
ENG000171,ALM00171,3,2,498,0,0,59,0.273,2025-10-24,3,Low,Staff_01,2025-08-13
ENG000172,ALM00172,5,1,340,0,0,51,0.065,2025-09-27,4,Low,Staff_11,2025-10-22
ENG000173,ALM00173,1,0,0,0,0,41,0.382,2025-09-30,1,Low,Staff_10,2025-09-10
ENG000174,ALM00174,0,0,0,0,0,43,0.409,2025-06-26,1,Low,Staff_01,2025-10-17
ENG000175,ALM00175,3,1,123,0,0,36,0.497,2025-10-15,2,Low,Staff_16,2025-09-30
ENG000176,ALM00176,3,4,250757,0,0,75,0.712,2025-07-27,8,Medium,Staff_15,2025-09-02
ENG000177,ALM00177,2,0,0,0,0,58,0.336,2025-07-12,3,Low,Staff_19,2025-09-16
ENG000178,ALM00178,2,2,468,1,43,85,0.607,2025-07-01,5,Low,Staff_13,2025-09-14
ENG000179,ALM00179,1,0,0,1,3,98,0.112,2025-08-01,4,Low,Staff_15,2025-08-25
ENG000180,ALM00180,2,0,0,0,0,64,0.263,2025-10-23,3,Low,Staff_13,2025-08-15
ENG000181,ALM00181,6,0,0,0,0,82,0.937,2025-09-30,6,Low,Staff_08,2025-10-03
ENG000182,ALM00182,4,2,250497,0,0,73,0.607,2025-10-03,8,Medium,Staff_10,2025-10-21
ENG000183,ALM00183,3,0,0,0,0,38,0.792,2025-10-24,2,Low,Staff_13,2025-09-20
ENG000184,ALM00184,2,1,136,0,0,40,0.974,2025-09-09,2,Low,Staff_15,2025-10-12
ENG000185,ALM00185,0,2,50312,0,0,67,0.091,2025-07-22,6,Low,Staff_04,2025-09-20
ENG000186,ALM00186,1,1,79,1,4,80,0.828,2025-05-31,4,Low,Staff_08,2025-10-29
ENG000187,ALM00187,8,1,419,1,10,61,0.611,2025-05-23,7,Low,Staff_04,2025-10-10
ENG000188,ALM00188,0,1,403,0,0,55,0.181,2025-07-08,2,Low,Staff_02,2025-08-23
ENG000189,ALM00189,3,0,0,0,0,73,0.443,2025-09-09,3,Low,Staff_02,2025-09-10
ENG000190,ALM00190,5,1,464,0,0,61,0.36,2025-10-09,4,Low,Staff_20,2025-09-27
ENG000191,ALM00191,1,0,0,1,40,36,0.807,2025-09-25,2,Low,Staff_06,2025-10-19
ENG000192,ALM00192,0,1,258,0,0,70,0.484,2025-07-22,2,Low,Staff_08,2025-08-25
ENG000193,ALM00193,0,1,25000,0,0,74,0.924,2025-10-31,6,Low,Staff_19,2025-10-29
ENG000194,ALM00194,3,0,0,0,0,82,0.309,2025-10-23,4,Low,Staff_14,2025-10-01
ENG000195,ALM00195,2,0,0,0,0,85,0.668,2025-09-25,4,Low,Staff_09,2025-09-15
ENG000196,ALM00196,4,1,25000,0,0,92,0.97,2025-08-21,9,Medium,Staff_07,2025-10-29
ENG000197,ALM00197,2,0,0,0,0,49,0.953,2025-07-09,2,Low,Staff_05,2025-10-09
ENG000198,ALM00198,3,0,0,0,0,65,0.251,2025-06-16,3,Low,Staff_15,2025-08-30
ENG000199,ALM00199,3,1,199,0,0,68,0.048,2025-05-12,3,Low,Staff_16,2025-08-15
ENG000200,ALM00200,3,1,10000,0,0,55,0.739,2025-07-26,7,Low,Staff_09,2025-09-06
ENG000201,ALM00201,2,0,0,0,0,66,0.591,2025-06-04,3,Low,Staff_08,2025-08-05
ENG000202,ALM00202,2,2,420,0,0,46,0.142,2025-07-17,2,Low,Staff_15,2025-09-05
ENG000203,ALM00203,5,2,10420,0,0,76,0.275,2025-10-27,9,Medium,Staff_06,2025-10-01
ENG000204,ALM00204,3,2,611,0,0,30,0.963,2025-05-31,2,Low,Staff_16,2025-08-23
ENG000205,ALM00205,5,0,0,0,0,66,0.917,2025-07-26,4,Low,Staff_12,2025-08-06
ENG000206,ALM00206,4,1,52,0,0,31,0.746,2025-07-09,3,Low,Staff_15,2025-10-16
ENG000207,ALM00207,2,1,457,0,0,88,0.667,2025-06-28,4,Low,Staff_14,2025-08-12
ENG000208,ALM00208,3,0,0,0,0,72,0.572,2025-07-11,3,Low,Staff_18,2025-11-01
ENG000209,ALM00209,2,0,0,0,0,52,0.649,2025-07-08,3,Low,Staff_04,2025-08-30
ENG000210,ALM00210,2,0,0,0,0,30,0.003,2025-10-30,2,Low,Staff_04,2025-08-08
ENG000211,ALM00211,1,1,10000,0,0,72,0.918,2025-07-26,6,Low,Staff_08,2025-08-27
ENG000212,ALM00212,0,0,0,0,0,75,0.587,2025-07-05,3,Low,Staff_17,2025-09-17
ENG000213,ALM00213,2,2,100088,0,0,95,0.347,2025-10-13,8,Medium,Staff_18,2025-09-12
ENG000214,ALM00214,2,0,0,0,0,60,0.218,2025-08-31,3,Low,Staff_11,2025-09-07
ENG000215,ALM00215,3,0,0,1,11,48,0.5,2025-06-16,3,Low,Staff_02,2025-09-26
ENG000216,ALM00216,4,1,198,0,0,83,0.88,2025-06-10,5,Low,Staff_03,2025-10-15
ENG000217,ALM00217,3,4,824,0,0,48,0.992,2025-08-14,2,Low,Staff_13,2025-10-22
ENG000218,ALM00218,2,0,0,0,0,40,0.077,2025-06-01,2,Low,Staff_07,2025-08-04
ENG000219,ALM00219,2,1,334,0,0,77,0.771,2025-07-19,4,Low,Staff_13,2025-08-07
ENG000220,ALM00220,2,1,493,0,0,77,0.161,2025-10-21,4,Low,Staff_12,2025-10-15
ENG000221,ALM00221,3,0,0,0,0,50,0.703,2025-10-12,3,Low,Staff_03,2025-10-03
ENG000222,ALM00222,5,3,50668,0,0,80,0.684,2025-08-04,9,Medium,Staff_01,2025-08-22
ENG000223,ALM00223,2,2,494,0,0,81,0.377,2025-08-11,4,Low,Staff_19,2025-09-15
ENG000224,ALM00224,3,1,349,0,0,78,0.046,2025-06-09,4,Low,Staff_06,2025-09-23
ENG000225,ALM00225,2,1,265,0,0,68,0.937,2025-07-10,3,Low,Staff_14,2025-10-11
ENG000226,ALM00226,2,0,0,0,0,76,0.851,2025-07-19,4,Low,Staff_10,2025-09-10
ENG000227,ALM00227,0,1,208,1,42,38,0.222,2025-07-13,2,Low,Staff_16,2025-10-11
ENG000228,ALM00228,1,1,82,0,0,79,0.332,2025-10-01,3,Low,Staff_20,2025-08-24
ENG000229,ALM00229,3,0,0,0,0,84,0.613,2025-06-13,4,Low,Staff_11,2025-10-20
ENG000230,ALM00230,2,1,10000,0,0,44,0.77,2025-07-23,6,Low,Staff_11,2025-09-13
ENG000231,ALM00231,3,0,0,0,0,54,0.706,2025-08-03,3,Low,Staff_17,2025-10-30
ENG000232,ALM00232,3,0,0,0,0,70,0.898,2025-10-23,3,Low,Staff_09,2025-08-21
ENG000233,ALM00233,3,0,0,0,0,68,0.577,2025-09-05,3,Low,Staff_02,2025-10-22
ENG000234,ALM00234,1,0,0,0,0,99,0.631,2025-07-29,3,Low,Staff_18,2025-08-28
ENG000235,ALM00235,5,1,390,0,0,56,0.107,2025-06-12,4,Low,Staff_14,2025-10-08
ENG000236,ALM00236,2,0,0,0,0,87,0.085,2025-10-13,4,Low,Staff_09,2025-08-19
ENG000237,ALM00237,2,1,50000,0,0,59,0.379,2025-06-08,7,Low,Staff_14,2025-09-24
ENG000238,ALM00238,1,1,480,0,0,76,0.918,2025-06-09,3,Low,Staff_11,2025-10-18
ENG000239,ALM00239,0,0,0,0,0,32,0.899,2025-07-28,1,Low,Staff_16,2025-08-07
ENG000240,ALM00240,2,0,0,0,0,94,0.843,2025-05-19,4,Low,Staff_11,2025-10-16
ENG000241,ALM00241,3,2,601,0,0,45,0.678,2025-06-09,2,Low,Staff_14,2025-10-03
ENG000242,ALM00242,2,0,0,0,0,31,0.251,2025-10-14,2,Low,Staff_09,2025-09-03
ENG000243,ALM00243,0,2,675,0,0,51,0.914,2025-10-05,2,Low,Staff_04,2025-08-31
ENG000244,ALM00244,0,0,0,0,0,59,0.708,2025-08-18,2,Low,Staff_09,2025-10-14
ENG000245,ALM00245,3,2,587,0,0,44,0.598,2025-07-26,2,Low,Staff_12,2025-10-18
ENG000246,ALM00246,1,1,121,0,0,39,0.922,2025-10-16,1,Low,Staff_20,2025-10-18
ENG000247,ALM00247,1,2,25276,0,0,81,0.58,2025-06-05,7,Low,Staff_14,2025-08-19
ENG000248,ALM00248,2,1,100000,0,0,54,0.871,2025-07-05,7,Low,Staff_13,2025-10-28
ENG000249,ALM00249,0,2,100398,0,0,61,0.441,2025-09-02,6,Low,Staff_14,2025-10-12
ENG000250,ALM00250,2,0,0,0,0,63,0.93,2025-10-11,3,Low,Staff_07,2025-09-09
ENG000251,ALM00251,0,0,0,0,0,38,0.192,2025-07-24,1,Low,Staff_03,2025-08-25
ENG000252,ALM00252,2,0,0,0,0,69,0.712,2025-06-03,3,Low,Staff_18,2025-09-05
ENG000253,ALM00253,4,0,0,0,0,92,0.309,2025-07-22,5,Low,Staff_14,2025-10-30
ENG000254,ALM00254,1,1,485,0,0,84,0.917,2025-09-06,3,Low,Staff_18,2025-10-01
ENG000255,ALM00255,3,0,0,0,0,68,0.038,2025-05-23,3,Low,Staff_10,2025-10-20
ENG000256,ALM00256,5,0,0,0,0,74,0.602,2025-06-18,4,Low,Staff_04,2025-09-13
ENG000257,ALM00257,1,1,453,0,0,81,0.752,2025-07-15,3,Low,Staff_18,2025-10-25
ENG000258,ALM00258,6,2,350000,0,0,81,0.554,2025-08-18,10,Medium,Staff_10,2025-09-08
